username,rate,date,label,sentimen,reviews,produk
ziaprlfauzi,4,21-05-2024 03:08 AM,fake,positive,Suka banget pake emina ini dr jaman kuliah sampe kerja udah habis banyak tube pokoknya. Dipake dibawah make up ga ganggu makeup sama sekali. Dia juga cepet nyerep + ga bikin greasy. Luuvvv banget selalu repurchase pokoknya. Dr segi harga juga masih ramah dikantong,Emina Sunscreen
mnisfa,4,20-05-2024 04:13 PM,fake,positive,"sunscreen yang ringan banget
engga lengket dan harganya affordable. gak whitecast dan mudah dicari . minusnya mesti sering reapply karna gampang luntur apalagi kalau berkeringat. langsung buyaaaaar. 

repurchase : maybe
karna mau coba sunscreen lain",Emina Sunscreen
amandabilla98,4,20-05-2024 07:33 AM,trusted,positive,"sunscreen jaman kuliah, cari nya gampang ada di drugstore online juga banyak. harganya affordable suka sama wanginya, wangi pandan gituu. dulu banget cocok pake ini tapi lama kelamaan pake ini langsung timbul beruntusan:( gatau kayaknya dari aku ga cocok sama kandungan aloe vera nya",Emina Sunscreen
mtraandita,3,19-05-2024 01:36 PM,trusted,neutral,"Waktu smp aku pakai ss ini selama ±2 tahun, terus aku stop selama covid karena ga pernah keluar. Pas coba pake lagi, tiba2 breakout parah banget sehari setelahnya, padahal exp product masih lama. Dari aman selama dua tahun, terus tiba-tiba ga cocok dan breakout parah yg jerawatan batu gitu. I don't know why, sepertinya kulitku jadi sensitif dengan fragrancenya. Tapi untuk yg kulit normal, ini oke oke aja kayanya. ",Emina Sunscreen
Miftahuljahra,2,18-05-2024 06:38 AM,trusted,negative,"Aku ga terlalu cocok pake produk ini terlebih lagi muka aku oily skin jadi dipake 2 kali langsungkeluar jerawatnya, mungkin untuk kulit yang dryskin bisa di coba tapi aku cukup sekali pake produk ini karena kalo ga cocok bikin kulit jerawat besar²",Emina Sunscreen
Marizka_nuril,3,18-05-2024 06:06 AM,trusted,neutral,"Sunscreen pertama aku sewaktu kenal skincare, first apply aku kurang suka sama fragrance nya sangat kencang, dia teksturnya gel gitu dan gampang di apply di kulit. Dan kalian tau aku udah 4x repurchase karna harganya yang affordable sewaktu aku masih sekolah. Untuk hasil dari pemakaian ntah kenapa aku kyk ngerasa keringettan gitu ya huhu",Emina Sunscreen
Denyul,3,17-05-2024 10:28 AM,trusted,neutral,"Teksturnya agak watery gitu
Diblendnya agak lumayan usaha
Di muka saya, kerasa panas pas dipakai. Dan ada aroma agak tajemnya. Tapi emang harganya sangat affordable. Kalau pas keringetan, lumayan keliatan putih putih gitu bulir keringetnya dan agak pedih dimata. ",Emina Sunscreen
stephaniekumala,5,17-05-2024 10:06 AM,fake,positive,"udah pake ini dari jaman SMA hahah seneng banget bisa cocok. suka banget sama texturenya yang ringan, gampang nyerep, gampang diblend, gak bikin gerah, gak ada whitecast. yang bikin seneng lagi, harganya murah meriah dan gampang didapetin. ",Emina Sunscreen
anakusumaayu,3,16-05-2024 02:59 AM,trusted,neutral,"ini adalah suncreen pertamaku , dulu cocok banget krn harganya sangat friendly di kantong pelajar , mudah untuk di apply juga .. cuma gatau kenapa tiap aku habis pakai ini muka jadi keliatan lebih kusam , jd aku ga terlalu merekomendasikannya siii",Emina Sunscreen
andinsyalalala,4,15-05-2024 01:14 PM,trusted,positive,"Emina itu brand yang nge hype buat remaja dan aku dulu pernah jadi one of among a lot collector juga diantaranya yg pernah aku beli ini adalah spf nya yang di edisi packaging pattern unyu dan simple.. oke.. spf ini yg paling light dari semua spf yg pernah aku pakai.. sampai"" efeknya juga kayak ga pakai spf saking dia daya absorb nya yang setipis hantu.. fun fact nya adalah dia spf pertama aku yg beli iseng tanpa ada maksud daily used nih.. hahaha.. jadi cuman iseng aja.. btw,, bau aloe vera nya yang khas ala spf emina ini memang the best ya.. legend baunya.. teksturnya gel to lotion gituu.. memang spf affordable sih.. tapi belum tau efektifnya kalau buat daily bagus apa nggak.. ",Emina Sunscreen
Redveluvvies,2,14-05-2024 02:02 PM,trusted,neutral,"sunscreen pertama akuu pas kenal skincaree
teksturnya gel gtu mudah buat aplikasiinnya
gda efek apa' si diaku, tapi mnurutku aku agak kurang cocok karena fragrancenya lumayan kenceng jadi ga nyaman aja pakenya",Emina Sunscreen
wiwiiii,1,13-05-2024 09:08 AM,trusted,negative,"astaga ini tuh ss paling ngga banget dari semua ss yang aku pake, dia tuh bener bener bikin minyakan terus bruntusan parah dannnn bikin kusam banget, ngga tau emang muka aku yang sensitif atau gimana tapi ini emang bener bener ngga cocok bangetttt mungkin di beberapa orang ada yang cocok and balik lagi ke tipkul orang orang",Emina Sunscreen
valerie_vlnc,2,12-05-2024 08:36 AM,fake,negative,"Huhu sorry bgt tp ga suka sm ini product 😭 bikin kusem dan berminyak bgt. Jadi berat di wajah klo buat oily skin kek aku. Sepertinya ini lbh cocok buat yg normal-dry sih. Texturenya kyk gel putih kuning dikit cuman ga gampang nyerep gt lho. Aku gatau sih hasil reformulasinya kek apa. Soalnya, aku nyoba yg lama aku krng suka dan simply krn aku udah nemu yg lbh cocok aja sih. Plus nya emg affordable dan gampang ditemuin dimana2",Emina Sunscreen
zaskiamutia,2,12-05-2024 08:20 AM,trusted,negative,pernah makai sunscreen emina ini pas dulu jaman sekolah lagi viral dan hype banget!  sebenernya cuma kurang cocok di muka ku agak bikin kusam after usednya jadi gak lanjut makai cuma ya udah terlanjur beli makanya dipake aja. sebenrnya kalo dipengalaman aku yang pernah ke dokter untuk perawatan ini agak kurang banget sebenernya emina ini. tapi ya masih lumayan lah ga sampe bikin kulit rusak,Emina Sunscreen
alexsandra,3,11-05-2024 11:56 PM,trusted,neutral,"Sebenarnya dulu waktu SMP sunscreen yang biasa aku pake dari emina sampe.aku sma pun masih tetep pake ko sempet berhenti waktu lagi breakout di masa pandemi dan kembali aku pake pas kuliah beberapa bulan aja sebenaenya untuk teksturnyan bagus koo tapi sayangnya dia ada kandungan alkohol yang buat dahi aku suka muncul bruntusan meskipun ga parah menurut ku juga tetap mengganggu bruntusannya cuma muncul beberapa ajaa dan di bawah kantung mata pun juga kadang ada belum lagi efek pemakaian beberapa jam kedepannya jadi buat kusam di wajah jadi aku kurang sukaa :( ,aku baru berani ambil keputusan ganti sunscreen setelah memasuki masa kuliah setelah beberapa tahun SMP dan SMA skincare yang aku pake dari emina semua xixxi... , tapi gais yang dulu aku pake kan formula lama untuk formula sekarang ini jauh lebih bagus koo sunscreennya meskipun belum pernah aku coba lagi sih sekarang tapi kalau berdasarkan review dari beberapa temen aku yang pake mereka ngejelasin formula sunscreen yang terbaru ini ada yang non-alkohol , ada juga varian yang non-comedogenic dan non-acnegenic. Menurutku jadi upgrade lebih bagus lagi sih harusnya udah ga ada permasalahan yang aku alami dulu di formula yang sekarang ( untuk sekarang aku cuma bisa kasih bintang 3 mungkin kalau nanti ada kesempatan buat coba formula barunya aku balik lagi buat review dan mempertimbangkan nilainya lagi 🥰)",Emina Sunscreen
ghaitsanr,2,11-05-2024 02:30 AM,trusted,negative,Beli ini karena terpaksa gue gak sengaja buka tutupnya pas di dandan. Padahal emang tutupnya udah kebuka dri sananya trus gue cm buka tutupnya doang dan disuruh beli:( pdhal isinya tinggal dikit dong *curhat cyinnnn. Ohiya btw ini b aja. Glossy nya bukan kaya gloss yg sehat gt i mean mengkilatnya kyk abis makan goreng soooo its a no from me.,Emina Sunscreen
sherlyanaalf,5,10-05-2024 12:57 PM,fake,positive,"Udah jadi sunscreen dari jaman 2018 sampe hari ini pun aku sukaa, karna wanginya teksturnya mudah banget menyerap bikin muka fresh ga bikin lengket juga terus murah yaa tentunya pas gitu di kantong anak anak sekolahan udh pasti aku beli lagi beli lagi karna udh secinta ituu..",Emina Sunscreen
Mah,1,10-05-2024 06:56 AM,trusted,negative,"Sekali pake besok nya ak langsung muncul jerawat, kirain itu bukan karna ini, setelah aku pake terus menerus emang gara2 ss ini, jadi aku stop pakenya. produknya lama menyerap diwajahku ini, Im sorry karna mungkin wajahku aja yang rewell jadi ga cocok
",Emina Sunscreen
cindyrv,3,09-05-2024 11:06 PM,trusted,neutral,"Aku make ini smpai hbis stu tube ,lumayan susah diblend ,agak pedih klu kena mata, aku nyoba yg kemasan lama ,klu yg bru blm prnh coba klu buat repurchase ga sih msih bnyk sunscreen lain yg lbih bgus tpi affordable parah",Emina Sunscreen
tesadong,2,09-05-2024 03:07 PM,trusted,negative,"Kebetulan kulit aku dry to normal, dan ini juga sunscreen pertama aku yang ku pake waktu smp awal-awal. Di kulit aku awalnya gatal terus malah kusam dan bikin jerawat di dahi dan dagu. Kalau kulit kalian berminyak mungkin cocok yaa. Oh iya aku pake produk ini cuma 2 minggu itupun kadang ku pake kadang engga, sisanya ku kasih ke kakakku dan ternyata dia cocok. Btw harga sunscreen ini cukup ramah di kantong pelajar yaa",Emina Sunscreen
liasolihin,5,05-05-2024 01:24 PM,fake,positive,"sunscreen terbagus dan teringan yang aku pake, awal pake pas smp terus keterusan tapi ternyata dia bikin aku komedoan lama lama dan berminyak jadi ga diterusin, tapi bagus kok untuk remaja anak smp gitu worth it juga harganya murah hehe cobain",Emina Sunscreen
ratnarws,5,05-05-2024 01:16 PM,fake,positive,"sunscreen ini enak banget di kulit aku, bikin lembab, ga bikin lengket, recomended buat kalian yang mau kulitnya tetep lembab, mana harganya yang affordable harus beli!aku rekomendasiin banget buat kalian yang mau sun protection yang aman di kulit!",Emina Sunscreen
Raisasucia,5,05-05-2024 01:06 PM,fake,positive,pertama pake sunscreen itu pas SMA dan aku terbilang telat pakenyaa. Aku type kukit berminyak tapi buat produk ini ga bikin lengket ga perih dimata enak pokoknya buat kalian yg mau order jangan ragu yaa boleh dicoba. Emina ini ga bikin lengket,Emina Sunscreen
elszahardani,5,05-05-2024 01:05 PM,fake,positive,Sunscreen yang cocok banget aku pakai dari sma sampai sekarang. Harga ramah di kantong cocok juga untuk remaja aman dan tentunya emina selalu mengeluarkan produk yang keren. Sukaaa sekalii cocok untuk teman teman terutama remajaaaaaaa,Emina Sunscreen
meydiaura,4,05-05-2024 01:02 PM,fake,positive,"Awalnya pake karena random aja coba coba beli di bxb, karena promo ya jadi kalap. Terus ternyata so good di muka jadi pake sampe habis. Kalo mau beli lagi juga udah lumayan tersedia banyak di offline store. Tapi aku selalu nunggu event bxb karena murah murah 🫶🏻",Emina Sunscreen
Hanifahfitri10,5,05-05-2024 06:37 AM,fake,positive,"Aku pake udah sekitar 6 bulan dan bagus banget harga nya worth banget! Teksture nya lembut ga bikin lengket jdi lebih gentle ke kulit , bener bener ngilangin kulit kering pake suncreen auto lembab seharian pokoknya bagus banget dan ngaada bau bener bener yang soft ",Emina Sunscreen
ismisuherman,5,05-05-2024 06:33 AM,fake,positive,"Udah pake lama bgt dan emang se enak itu trs ga yg warna putih jd abu gt pas di apply, terus enak ringan bgtttt makanya sering pake ini udh beberapa taun juga pake ini dan sampe sekarang ga ganti sama sunscreen lain sih so thank you rmina jadi cocok ",Emina Sunscreen
lucyanee,5,05-05-2024 06:14 AM,fake,positive,"Sunscreen dari jaman smp sampe sekarang yang aku selalu pakee sampe udah punya anak loh hahahaaa , menurutku sunscreen ini udh paling bagus cocok buat anak anak dan sesusia kuuu , pokonya gabisa pindah ke lain hati thankyou eminaaaa ❤️❤️❤️❤️❤️❤️",Emina Sunscreen
bungaydht,4,05-05-2024 06:13 AM,fake,positive,"Emina sun protection cocok digunakan untuk pemula untuk menjaga kulit dari paparan sinar uv. Harga terjangkau, mudah didapat, sangat cocok digunakan untuk anak sekolahan. Teksturnya cukup padat dan mudah menyerap ke kulit. Sangat direkomendasikan untuk para pemula yang mencari sunscreen yang harga terjangkau, mudah dicari.",Emina Sunscreen
Rinihdyt,5,05-05-2024 06:12 AM,fake,positive,Aku udh pake sunscreennya selama 6 bulan dan itu bener-bemer cocok dikulit aku apalagi aku kerjanya tiap hari bawah terik matahari jd menjaga banget biar matahari gak langsung masuk ke sel kulit kita yang penting sih aman banget mau dipake di indor atw outdor emina emang the best,Emina Sunscreen
desy_indah,5,05-05-2024 05:59 AM,fake,positive,bagus banget sunscreen nya tidak lengket cocok untuk kulit kering dan tidak berminyak sama sekali aku pakai dan cocok sekali mantap bagus pokonya sumpah se enak itu emina the best banget lahhh plis lah baguss bangey aku suka sekali pokonua mantap,Emina Sunscreen
nazwaamp,5,05-05-2024 05:57 AM,fake,positive,Pake Emina sunscreen dari awal SMA dan suka samaaa teksturnya yang aga kentell tapiii jadi lembabin kewajah akuu! Cocok banget sama kulitku yang keringggg. Juga gabikin hinyai after pemakaian malahan makeupn jadi ngebantu ngesetttt. Sampe sekarang masih pakai karena udah cocok banget.,Emina Sunscreen
salsabil_200,5,05-05-2024 05:31 AM,fake,positive,Tau ga sunscreen dibawah 30ribu ternyata ada loh! Harganya murah tapi kualitisnya ga main main juga. Ga bikin kulit kusam dan ga gampang luntur. Oiya ini sunscreen kecintaan aku dari zaman smp juga loh! Yang penting ga perih di muka. Cocok buat yang mau sunscreen pertama kali,Emina Sunscreen
